"Title","Genres","release_date","Director","Writer","Producer","Actors","overview"
"Inside Out 2","","2024-06-06","Kelsey Mann","Meg LeFauve","Mark Nielsen","Amy Poehler, Lewis Black, Phyllis Smith","Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone."
"Furiosa: A Mad Max Saga","","2024-05-22","George Miller","George Miller, Nico Lathouris","George Miller, Doug Mitchell","Anya Taylor-Joy, Chris Hemsworth, Tom Burke","As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home."
"Balinsasayaw","Drama","2024-05-31","Roe Pajemna","","","Apple Dy, Aiko Garcia, Benz Sangalang","A rich woman marries a charming womanizer who conspires with his wife’s best friend. When all the revelations are exposed, the tables suddenly turn."
"Your Fault","","2024-06-08","Domingo González","Sofía Cuenca, Domingo González","Álex de la Iglesia, Carolina Bang","Nicole Wallace, Gabriel Guevara, Iván Sánchez",""
"Bad Boys: Ride or Die","","2024-06-05","Adil El Arbi, Bilall Fallah","Chris Bremner","Jerry Bruckheimer, Will Smith, Doug Belgrad, Chad Oman","Will Smith, Martin Lawrence, Vanessa Hudgens","After their late former Captain is framed,  Lowrey and Burnett try to clear his name, only to end up on the run themselves."
"The Exorcism","","2024-05-30","Joshua John Miller","Joshua John Miller, M.A. Fortin","Ben Fast, Kevin Williamson, Bill Block","Russell Crowe, Ryan Simpkins, Sam Worthington","A troubled actor begins to unravel while shooting a supernatural horror film, leading his estranged daughter to wonder if he's slipping back into his past addictions or if there's something more sinister at play."
"Atlas","","2024-05-23","Brad Peyton","Leo Sardarian, Aron Eli Coleite","Joby Harold, Tory Tunnell, Jeffrey Fierson, Brad Peyton, Elaine Goldsmith-Thomas, Jennifer Lopez, Benny Medina","Jennifer Lopez, Simu Liu, Sterling K. Brown","A brilliant data analyst with a deep distrust of artificial intelligence joins a mission to capture a renegade robot with whom she shares a mysterious past."
"The Strangers: Chapter 1","","2024-05-15","Renny Harlin","","Courtney Solomon, Mark Canton, Christopher Milburn, Gary Raskin, Charlie Dombeck, Alastair Burlingham, Charlie Dombek","Madelaine Petsch, Froy Gutierrez, Gabriel Basso","After their car breaks down, a couple driving cross-country to begin a new life in the Pacific Northwest is forced to spend the night in a secluded rental, where they are terrorized from dusk till dawn by three masked strangers."
"Lady Guard","Drama","2024-05-14","Bobby Bonifacio","","","Angela Morena, Irish Tan, Anthony Dabao","Every week, warehouse security guard Estelle, turns a blind eye to the illegal gambling at the warehouse in exchange for financial and sexual favors. But when a younger and more beautiful new recruit, Meryl, arrives, will Estelle be able to keep her place as the lady guard?"
"Baki Hanma VS Kengan Ashura","","2024-06-05","Toshiki Hirano","Atsuo Ishino","","Nobunaga Shimazaki, Tatsuhisa Suzuki","Crossover film based on the Baki Hanma and Kengan Ashura anime."
"Hit Man","","2024-05-17","Richard Linklater","","Richard Linklater, Jason Bateman, Michael Costigan, Glen Powell, Mike Blizzard","Glen Powell, Adria Arjona, Austin Amelio","A mild-mannered professor moonlighting as a fake contract killer sparks a chain reaction of trouble when he falls for a client."
"Kinds of Kindness","","2024-05-30","Yorgos Lanthimos","Yorgos Lanthimos, Efthymis Filippou","Ed Guiney, Andrew Lowe, Kasia Malipan, Yorgos Lanthimos","Emma Stone, Jesse Plemons, Willem Dafoe","A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning and a woman's quest to locate an extraordinary individual prophesied to become a renowned spiritual guide."
"The Watchers","","2024-06-06","Ishana Night Shyamalan","Ishana Night Shyamalan","M. Night Shyamalan, Ashwin Rajan, Nimitt Mankad","Dakota Fanning, Georgina Campbell, Olwen Fouéré","When 28-year-old artist Mina finds shelter after getting stranded in an expansive, untouched forest in western Ireland, she unknowingly becomes trapped alongside three strangers that are watched and stalked by mysterious creatures each night."
"Edward","Drama","2024-05-12","Minkyu Kang","Minkyu Kang, Rali Chaouni","Bofan Zhang","Bill Sage, Lorraine Farris, Maxim Swinton","Edward, an AI scientist, realizes that the program he developed has been applied to military weapons and caused many deaths."
"Joaquin Phoenix - Schauspieler der Extreme","Documentary","2024-05-12","Tom Ehrhardt","","","",""
"Marvel Studios Assembled: The Making of X-Men '97","Documentary","2024-05-22","","","","","In the early 1990s, few beyond those who journeyed into the pages of Marvel comics had ever heard of ""Rogue,"" ""Beast,"" ""Gambit,"" or even ""Wolverine."" But that sad state of affairs changed forever when ""X-Men: The Animated Series"" debuted on television and touched millions hungry for something different. The series was unlike any cartoon that had come before it, exploring themes of prejudice and social justice. The characters were super, but they were also outsiders and underdogs. Kids everywhere could relate, as well as adults. ""Assembled"" recalls the birth of ""X-Men: The Animated Series"" and its revival thirty years later as ""X-Men '97."" Spend time with the original cast members, along with new voices, as they reveal the stories behind the classic show and its uncompromising continuation."
"Thelma the Unicorn","","2024-05-17","Jared Hess, Lynn Wang","Jared Hess, Jerusha Hess","Pam Coats","Brittany Howard, Will Forte, Jemaine Clement","A singing pony who dreams of stardom finds instant fame when she transforms into a sparkly unicorn — but becoming a celebrity is one wild ride."
"Love, Courage and the Battle of Bushy Run","","2024-05-13","Dave Alan Johnson, Larry A. McLean","Charlie Richards","Charlie Richards, Larry A. McLean, Dave Alan Johnson, Karl Horstmann","Tom Connolly, Rachele Schank, J. Michael Finley","In 1763, Britain defeated France in the worldwide Seven Years War - referred to in the American Colonies as The French and Indian War. As a result, the French abandoned America, leaving the Native population who had sided with the French to fear the British would seek revenge. Ottawa Chief Pontiac convinced many tribes they needed to strike first. Some did so willingly, others were forced to fight. Their ultimate target was Fort Pitt. The combatants on both sides deployed unconventional and often brutal strategies and tactics. Colonel Henry Bouquet, with a ragtag group of British soldiers, Scottish Highlanders and American volunteers, was tasked with trying to save the hundreds of men, women and children facing certain death - or worse - in Fort Pitt. The little-known Battle of Bushy Run changed the course of world history... This is that story."
"Careless Passage","Action, Adventure, Animation, Comedy, Crime, Documentary, Drama, Family, Fantasy, History, Horror, Music, Mystery, Romance, Science Fiction, TV Movie, Thriller, War, Western","2024-05-12","Jerome Hiler","","","","“Now that I’m in motion again, I look forward to the passage from this life to future wanderings in unknown places. My film alludes to and appreciates the encounters that flow without ceasing as we move through our personal version of reality” (Jerome Hiler)."
"Strawberry Cream","","2024-05-12","Vishnu Sinha","Vishnu Sinha","Claire Hackett","Mihir Ahuja, Nihal Grover, Anila Khosla","In the strawberry fields of Kashmir, hopelessly sensitive Tushar falls in love with his cooler-than-thou friend, Ashwin, and their ensuing summer romance transforms him."
"Muck","Comedy","2024-05-12","Zach Richter","Zach Richter","Zach Richter","David Brown, Zach Richter","Having to poop, a man rushes to the bathroom. Except it's not a bathroom; it's a janitor's closet."
"Kisses and Bullets","Drama","2024-05-12","Faranak Sahafian","Faranak Sahafian","Pooria Ansari, Yoko Kohmoto","Bahar Beihaghi, Shadi G, Samuel Tehrani","During the Iranian Women, Life, Freedom movement in 2022, Anahita in NYC and Yalda in Tehran face their fears by going to a protest, and connect across the world with a photo that brings them hope for a better tomorrow."
"Corrupción en Marbella Vol.2","","2024-05-12","Martí González, Martí Garcia Solé","Martí González, Martí Garcia Solé","Martí González, Martí Garcia Solé","Martí González, Martí Garcia Solé, Nil Garriga",""
"Side Roads","","2024-05-12","Alvaro Nunez Secchi","Alvaro Nunez Secchi","Donovan Tolledo, Valerie Contreras","Bernardo Castilla, Chris Renfro, Marabina Jaimes","Franco and his boyfriend's nomadic life in an RV is interrupted by Franco's widowed mother's unexpected visit. To satisfy her expectations, Franco fabricates a groomed lifestyle, only to discover that his mother may not be the same person he once knew."
"29 Hour Famine","Comedy","2024-05-12","Vivienne Shaw","Vivienne Shaw","Gorby Shih","Anna Mikami, Yeena Sung, Jae Shin","When a devout teenager discovers evidence of someone eating at her church youth group’s annual fasting event, she goes to absurd lengths to catch the culprit."
